title,size,release,loaded
Sackboy: A Big Adventure,37.67 ГБ,2022 г.,140 222
Assassin's Creed Origins,41.48 ГБ,2017 г.,537 871
Injustice 2,33.44 ГБ,2017 г.,188 507
The Legend of Heroes: Trails through Daybreak,11.94 ГБ,2023 г.,4 440
Alone in the Dark,21.40 GB,2024 г.,25 180
Hatsune Miku: Project DIVA Mega Mix+,34.92 GB,2022 г.,13 909
Fallout 4 VR,26.43 GB,2017 г.,80 887
Trine 5: A Clockwork Conspiracy,14.91 ГБ,2023 г.,31 554
Total War: Rome Remastered,32.39 ГБ,2021 г.,245 610
Ori and the Will of the Wisps,3.85 ГБ,2020 г.,245 721
State of Decay 2,15.11 ГБ,2020 г.,467 075
DOOM Eternal,70.68 ГБ,2020 г.,815 536
Mass Effect: Andromeda,31.57 ГБ,2017 г.,243 141
Yakuza 0,14 ГБ,2018 г.,187 327
Unravel Two,4.66 ГБ,2018 г.,129 380
Thief Simulator,2.98 ГБ,2018 г.,124 833
Alice Madness Returns,3.24 ГБ,2011 г.,172 247
Trine Enchanted Edition,3.24 ГБ,2009 г.,68 826
Frogsong,259 МБ,2023 г.,4 711
The Walking Dead: Saints and Sinners VR,30.9 ГБ,2020 г.,135 308
Resident Evil 2 Remake,16.94 ГБ,2019 г.,514 389
Bopl Battle,115 МБ,2023 г.,16 335
Tainted Grail: The Fall of Avalon,18.02 ГБ,2023 г.,56 157
Command & Conquer 3: Kane's Wrath,3.93 ГБ,2009 г.,140 240
Command & Conquer: Red Alert 3,6.38 ГБ,2008 г.,381 269
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
